,ÉfÅ[É^
0,821
1,55
2,377
3,622
4,882
5,258
6,1391
7,1124
8,449
9,243
10,54
11,161
12,637
13,752
14,1321
15,1340
16,88
17,117
18,732
19,528
20,1090
21,715
22,966
23,487
24,959
25,1008
26,297
27,484
28,1351
29,7
30,370
31,113
32,25
33,688
34,549
35,458
36,393
37,284
38,630
39,901
40,383
41,71
42,279
43,734
44,124
45,815
46,1074
47,598
48,748
49,1243
50,751
51,209
52,348
53,259
54,18
55,1013
56,501
57,742
58,1177
59,783
60,1300
61,1429
62,1158
63,159
64,1050
65,250
66,318
67,459
68,832
69,1455
70,331
71,555
72,193
73,495
74,930
75,572
76,850
77,1141
78,267
79,841
80,352
81,1145
82,785
83,1080
84,1412
85,180
86,271
87,93
88,421
89,430
90,1437
91,391
92,1190
93,1420
94,612
95,357
96,864
97,623
98,827
99,1086
100,847
101,261
102,866
103,1357
104,1273
105,816
106,1155
107,1130
108,912
109,963
110,1111
111,561
112,619
113,1078
114,61
115,1400
116,994
117,740
118,1319
119,43
120,410
121,1034
122,1298
123,1213
124,1254
125,989
126,1221
127,1322
128,967
129,1175
130,1053
131,649
132,803
133,610
134,473
135,1442
136,1038
137,1005
138,31
139,1228
140,1021
141,758
142,731
143,892
144,1041
145,1230
146,502
147,769
148,1179
149,340
150,1432
151,749
152,384
153,1415
154,265
155,884
156,316
157,1233
158,556
159,45
160,181
161,1163
162,1116
163,1206
164,1411
165,364
166,897
167,500
168,778
169,1018
170,394
171,845
172,197
173,200
174,406
175,234
176,919
177,417
178,663
179,937
180,939
181,641
182,292
183,1047
184,786
185,1383
186,942
187,735
188,1242
189,993
190,807
191,140
192,1082
193,1439
194,826
195,712
196,1238
197,272
198,1057
199,788
200,112
201,692
202,268
203,529
204,148
205,1281
206,1036
207,151
208,947
209,1136
210,725
211,660
212,664
213,153
214,41
215,1170
216,429
217,878
218,646
219,504
220,1364
221,397
222,1169
223,385
224,762
225,167
226,710
227,122
228,203
229,1144
230,1
231,109
232,447
233,1166
234,446
235,95
236,465
237,224
238,426
239,780
240,78
241,1297
242,970
243,520
244,332
245,392
246,354
247,820
248,1088
249,414
250,137
251,270
252,98
253,81
254,1294
255,680
256,475
257,1100
