,ÉfÅ[É^
0,352
1,313
2,278
3,291
4,344
5,244
6,340
7,307
8,294
9,311
10,276
11,293
12,337
13,269
14,272
15,319
16,363
17,275
18,263
19,351
20,336
21,338
22,250
23,298
24,315
25,252
26,361
27,257
28,357
29,314
30,358
31,273
32,353
33,342
34,295
35,247
36,360
37,324
38,261
39,297
40,254
41,325
42,345
43,333
44,302
45,300
46,246
47,348
48,277
49,350
50,346
51,332
52,267
53,339
54,343
55,245
56,259
57,280
58,356
59,286
60,260
61,355
62,258
63,308
64,328
65,299
66,317
67,349
68,310
69,303
70,289
71,320
72,266
73,249
74,304
75,248
76,321
77,265
78,301
79,330
80,312
81,287
82,271
83,262
