,ÉfÅ[É^
0,193
1,183
2,239
3,189
4,13
5,46
6,211
7,36
8,184
9,206
10,9
11,227
12,192
13,51
14,29
15,55
16,32
17,219
18,204
19,187
20,54
21,45
22,190
23,15
24,12
25,233
26,197
27,223
28,22
29,43
30,212
31,216
32,27
33,194
34,37
35,235
36,231
37,241
38,39
39,25
40,205
41,188
42,191
43,221
44,53
45,52
46,238
47,48
48,232
49,44
50,10
51,199
52,59
53,5
54,19
55,209
56,26
57,8
58,49
59,218
60,222
61,41
62,217
63,208
64,6
65,60
66,28
67,213
68,56
69,200
70,207
71,11
72,23
73,24
74,16
75,20
76,224
77,240
78,234
79,33
80,31
81,198
82,58
83,21
84,225
