,ÉfÅ[É^
0,97
1,67
2,113
3,61
4,179
5,145
6,98
7,148
8,173
9,107
10,109
11,66
12,168
13,156
14,99
15,79
16,94
17,147
18,114
19,130
20,83
21,134
22,182
23,127
24,163
25,138
26,104
27,101
28,124
29,84
30,90
31,146
32,141
33,133
34,64
35,105
36,160
37,92
38,175
39,102
40,129
41,158
42,78
43,106
44,172
45,144
46,120
47,136
48,82
49,149
50,170
51,171
52,131
53,91
54,164
55,86
56,118
57,125
58,65
59,76
60,112
61,69
62,87
63,88
64,126
65,154
66,139
67,70
68,100
69,155
70,150
71,140
72,178
73,63
74,159
75,111
76,122
77,80
78,110
79,103
80,121
81,72
82,174
83,77
84,123
