,ÉfÅ[É^
0,219
1,711
2,590
3,103
4,159
5,116
6,567
7,42
8,44
9,408
10,148
11,600
12,168
13,243
14,406
15,679
16,717
17,265
18,656
19,66
20,551
21,221
22,232
23,69
24,715
25,43
26,595
27,541
28,121
29,38
30,651
31,701
32,49
33,119
34,383
35,152
36,211
37,15
38,539
39,658
40,642
41,435
42,369
43,438
44,315
45,497
46,412
47,324
48,459
49,25
50,301
51,150
52,450
53,687
54,165
55,294
56,92
57,293
58,97
59,597
60,700
61,278
62,164
63,134
64,542
65,563
66,109
67,98
68,487
69,253
70,239
71,235
72,351
73,494
74,445
75,300
76,430
77,453
78,154
79,612
80,277
81,208
82,643
83,714
84,583
85,692
86,464
87,434
88,399
89,225
90,556
91,575
92,81
93,249
94,34
95,603
96,329
97,23
98,172
99,670
100,330
101,472
102,623
103,480
104,685
105,8
106,589
107,280
108,205
109,721
110,222
111,657
112,307
113,196
114,70
115,537
116,322
117,224
118,252
119,477
120,552
121,628
122,18
123,338
124,7
125,65
126,481
127,474
128,615
129,237
130,710
131,691
132,463
133,286
134,513
135,105
136,74
137,468
138,163
139,368
140,703
141,268
142,549
143,229
144,215
145,680
146,361
147,693
148,558
149,524
150,526
151,319
152,609
153,467
154,233
155,635
156,22
157,28
158,287
159,381
160,694
161,365
162,584
163,199
164,187
165,79
166,660
167,360
168,587
169,261
170,295
171,320
172,75
173,525
174,530
175,448
176,568
177,114
178,411
179,153
180,493
181,316
182,341
183,298
184,171
185,705
186,83
187,423
188,523
189,723
190,182
191,602
192,403
193,176
194,17
195,343
196,282
197,128
198,415
199,138
200,256
201,401
202,646
203,61
204,586
205,62
206,359
207,31
208,56
209,418
210,247
211,684
212,505
213,137
214,421
215,554
216,724
217,367
218,617
