,ÉfÅ[É^
0,94
1,1096
2,195
3,376
4,70
5,290
6,738
7,415
8,277
9,428
10,1317
11,1316
12,888
13,1216
14,974
15,232
16,1307
17,1359
18,823
19,75
20,1351
21,120
22,132
23,188
24,714
25,1049
26,176
27,970
28,213
29,214
30,274
31,623
32,998
33,1310
34,38
35,450
36,356
37,6
38,399
39,1278
40,815
41,97
42,391
43,95
44,1141
45,731
46,1246
47,938
48,990
49,524
50,602
51,1395
52,118
53,1058
54,734
55,108
56,1284
57,279
58,1148
59,44
60,805
61,686
62,606
63,620
64,508
65,921
66,381
67,1424
68,1137
69,1259
70,189
71,456
72,784
73,1252
74,749
75,1115
76,543
77,744
78,679
79,1210
80,363
81,126
82,1293
83,187
84,1230
85,379
86,205
87,904
88,520
89,216
90,1166
91,555
92,1384
93,626
94,1146
95,481
96,249
97,770
98,1092
99,1035
100,312
101,1015
102,135
103,582
104,302
105,1007
106,1443
107,831
108,322
109,567
110,701
111,1021
112,251
113,666
114,1094
115,781
116,803
117,111
118,1430
119,1186
120,728
121,846
122,1179
123,1150
124,863
125,724
126,1266
127,829
128,339
129,1440
130,656
131,699
132,687
133,139
134,885
135,1347
136,197
137,585
138,867
139,752
140,341
141,777
142,662
143,1004
144,1357
145,96
146,857
147,562
148,164
149,853
150,9
151,882
152,17
153,1458
154,668
155,950
156,584
157,1419
158,1450
159,16
160,1243
161,338
162,872
163,968
164,833
165,771
166,1253
167,1297
168,1311
169,224
170,256
171,682
172,1003
173,521
174,412
175,112
176,1012
177,1301
178,976
179,401
180,932
181,1034
182,523
183,913
184,1139
185,184
186,1345
187,645
188,85
189,71
190,398
191,560
192,392
193,179
194,116
195,1189
196,1292
197,1280
198,559
199,721
200,170
201,631
202,255
203,710
204,1121
205,241
206,1274
207,1348
208,1182
209,893
210,1
211,1102
212,1161
213,1132
214,1024
215,716
216,28
217,939
218,1023
219,421
220,965
221,860
222,174
223,1247
224,286
225,949
226,977
227,740
228,321
229,1194
230,545
231,704
232,739
233,284
234,1263
235,1010
236,1193
237,820
238,837
239,133
240,789
241,592
242,611
243,1209
244,233
245,1138
246,208
247,76
248,328
249,590
