,ÉfÅ[É^
0,168
1,164
2,181
3,153
4,144
5,166
6,128
7,77
8,154
9,112
10,134
11,104
12,62
13,146
14,105
15,90
16,118
17,169
18,122
19,180
20,143
21,84
22,139
23,116
24,64
25,127
26,93
27,102
28,69
29,179
30,167
31,110
32,129
33,70
34,103
35,174
36,108
37,156
38,159
39,91
40,173
41,82
42,172
43,114
44,157
45,178
46,75
47,141
48,142
49,155
50,148
51,65
52,119
53,86
54,94
55,96
56,106
57,123
58,175
59,151
60,98
61,87
62,140
63,78
64,149
65,76
66,171
67,80
68,61
69,73
70,137
71,133
72,66
73,71
74,121
75,158
76,68
77,131
78,124
79,162
80,72
81,176
82,111
83,107
84,138
