,ÉfÅ[É^
0,52
1,181
2,81
3,8
4,43
5,86
6,137
7,29
8,196
9,6
10,198
11,199
12,172
13,94
14,117
15,207
16,16
17,30
18,208
19,158
20,7
21,98
22,55
23,184
24,112
25,188
26,232
27,79
28,224
29,190
30,183
31,163
32,19
33,49
34,135
35,72
36,15
37,223
38,238
39,21
40,240
41,53
42,115
43,173
44,221
45,120
46,211
47,225
48,23
49,56
50,80
51,5
52,138
53,165
54,239
55,75
56,17
57,121
58,62
59,200
60,218
61,77
62,197
63,209
64,27
65,237
66,159
67,69
68,217
69,36
70,162
71,234
72,226
73,227
74,87
75,118
76,102
77,143
78,110
79,185
80,170
81,168
82,65
83,13
84,9
85,71
86,145
87,204
88,47
89,144
90,106
91,104
92,33
93,147
94,140
95,103
96,4
97,66
98,161
99,229
100,176
101,70
102,82
103,119
104,134
105,182
106,92
107,178
108,205
109,28
110,132
111,58
112,22
113,124
114,51
115,76
116,99
117,40
118,100
119,88
120,167
121,11
122,61
123,32
124,50
125,139
126,130
127,219
128,230
129,148
130,241
131,48
132,114
133,129
134,243
135,3
136,68
137,113
138,20
139,42
140,146
141,157
142,187
143,128
144,189
145,206
146,95
147,57
148,85
149,24
150,228
151,101
152,242
153,231
154,37
155,91
156,90
157,141
158,174
159,108
160,122
161,203
162,155
163,150
164,41
165,216
166,214
167,31
168,194
169,34
