,ÉfÅ[É^
0,343
1,303
2,263
3,249
4,294
5,358
6,348
7,355
8,283
9,296
10,301
11,278
12,300
13,254
14,285
15,302
16,350
17,308
18,292
19,260
20,313
21,273
22,323
23,338
24,340
25,322
26,265
27,245
28,297
29,251
30,279
31,253
32,270
33,248
34,306
35,310
36,284
37,330
38,257
39,299
40,266
41,352
42,259
43,271
44,262
45,256
46,274
47,334
48,286
49,276
50,309
51,291
52,244
53,356
54,328
55,267
56,307
57,361
58,289
59,290
60,345
61,331
62,357
63,347
64,295
65,252
66,282
67,325
68,280
69,354
70,326
71,363
72,314
73,255
74,272
75,246
76,288
77,360
78,304
79,316
80,293
81,359
82,298
83,337
