,ÉfÅ[É^
0,100
1,137
2,134
3,93
4,99
5,156
6,144
7,103
8,109
9,90
10,182
11,69
12,126
13,111
14,84
15,65
16,76
17,181
18,123
19,157
20,97
21,175
22,101
23,102
24,128
25,131
26,105
27,112
28,91
29,72
30,160
31,129
32,107
33,114
34,68
35,85
36,94
37,106
38,136
39,110
40,146
41,71
42,152
43,138
44,141
45,172
46,89
47,162
48,161
49,75
50,177
51,64
52,117
53,87
54,132
55,92
56,150
57,125
58,121
59,153
60,73
61,145
62,159
63,120
64,62
65,122
66,116
67,83
68,180
69,66
70,174
71,158
72,165
73,170
74,98
75,140
76,164
77,171
78,168
79,115
80,167
81,79
82,78
83,82
84,124
