,ÉfÅ[É^
0,38
1,70
2,69
3,75
4,27
5,67
6,77
7,54
8,62
9,72
10,64
11,42
12,68
13,117
14,87
15,14
16,35
17,103
18,76
19,102
20,32
21,2
22,106
23,65
24,90
25,5
26,21
27,93
28,17
29,44
30,98
31,20
32,29
33,47
34,60
35,12
36,86
37,30
38,26
39,9
40,96
41,114
42,1
43,113
44,94
45,45
46,95
47,82
48,97
49,34
50,10
51,18
52,110
53,119
54,71
55,6
56,25
57,56
58,11
59,85
60,100
61,52
62,63
63,112
64,7
65,41
66,28
67,0
68,46
69,31
70,3
71,81
72,109
73,88
74,120
75,24
76,4
77,89
78,55
79,59
80,91
81,19
82,104
83,115
84,36
