,ÉfÅ[É^
0,322
1,199
2,737
3,1045
4,172
5,169
6,315
7,818
8,462
9,960
10,385
11,1076
12,373
13,279
14,317
15,375
16,638
17,109
18,595
19,143
20,760
21,41
22,1036
23,395
24,54
25,742
26,839
27,361
28,640
29,302
30,443
31,34
32,645
33,21
34,344
35,589
36,441
37,505
38,776
39,971
40,134
41,790
42,297
43,998
44,819
45,220
46,296
47,426
48,873
49,396
50,280
51,605
52,848
53,223
54,387
55,912
56,530
57,255
58,569
59,307
60,739
61,264
62,495
63,95
64,139
65,157
66,612
67,120
68,348
69,151
70,90
71,290
72,185
73,7
74,436
75,708
76,282
77,298
78,982
79,575
80,22
81,93
82,1067
83,386
84,1017
85,977
86,326
87,628
88,988
89,393
90,729
91,390
92,817
93,487
94,167
95,498
96,149
97,423
98,448
99,521
100,1034
101,991
102,117
103,928
104,603
105,997
106,727
107,285
108,1055
109,500
110,576
111,580
112,402
113,84
114,189
115,929
116,146
117,490
118,331
119,219
120,261
121,230
122,43
123,788
124,309
125,313
126,870
127,422
128,404
129,1093
130,50
131,670
132,885
133,728
134,159
135,537
136,463
137,11
138,440
139,540
140,1
141,970
142,252
143,579
144,254
145,270
146,831
147,459
148,880
149,741
150,380
151,136
152,779
153,889
154,419
155,877
156,210
157,130
158,798
159,810
160,679
161,869
162,992
163,914
164,369
165,250
166,27
167,295
168,102
169,324
170,435
171,502
172,933
173,801
174,471
175,546
176,516
177,712
178,1001
179,538
180,909
181,475
182,816
183,935
184,148
185,764
186,607
187,238
188,260
189,417
190,773
191,683
192,950
193,954
194,601
195,191
196,1027
197,698
198,701
199,677
200,668
201,859
202,1073
203,154
204,299
205,286
206,47
207,225
208,17
209,609
210,205
211,953
212,976
213,64
214,738
215,690
216,23
217,394
218,657
219,356
220,510
221,1031
222,522
223,772
224,888
225,770
226,399
227,378
228,403
229,152
230,857
231,777
232,1014
233,126
234,691
235,0
236,18
237,328
238,684
239,30
240,696
241,39
242,572
243,972
244,123
245,905
246,245
247,814
248,598
249,186
250,518
251,360
252,714
253,995
254,520
255,780
256,557
257,418
258,826
259,692
260,1044
261,300
262,653
263,452
264,339
265,493
266,455
267,327
268,352
269,527
270,287
271,942
272,643
273,560
274,747
275,1005
276,281
277,553
278,895
279,1032
280,860
281,824
282,1046
283,663
284,1052
285,181
286,488
287,158
288,472
289,1089
290,710
291,1026
292,67
293,473
294,236
295,13
296,19
297,678
298,431
299,567
300,508
301,343
302,547
303,110
304,967
305,76
306,903
307,900
308,513
309,108
310,940
311,924
312,947
313,825
314,78
315,871
316,193
317,168
318,135
319,908
320,1066
321,68
322,100
323,855
324,358
325,820
326,321
327,913
328,1084
