,ÉfÅ[É^
0,473
1,434
2,487
3,591
4,216
5,694
6,689
7,401
8,599
9,597
10,528
11,87
12,625
13,52
14,197
15,525
16,306
17,464
18,5
19,595
20,677
21,71
22,315
23,192
24,66
25,342
26,450
27,365
28,660
29,495
30,196
31,161
32,554
33,77
34,191
35,515
36,613
37,130
38,179
39,95
40,344
41,688
42,548
43,545
44,565
45,638
46,211
47,53
48,530
49,15
50,556
51,200
52,698
53,468
54,136
55,96
56,335
57,219
58,267
59,107
60,400
61,67
62,41
63,683
64,404
65,2
66,398
67,79
68,637
69,708
70,382
71,605
72,175
73,158
74,407
75,289
76,610
77,163
78,117
79,319
80,633
81,645
82,259
83,148
84,150
85,262
86,215
87,153
88,448
89,286
90,725
91,78
92,195
93,141
94,223
95,46
96,524
97,685
98,658
99,489
100,227
101,482
102,721
103,347
104,39
105,336
106,668
107,552
108,274
109,220
110,61
111,85
112,210
113,292
114,587
115,366
116,145
117,139
118,84
119,237
120,168
121,704
122,261
123,32
124,310
125,255
126,324
127,326
128,654
129,351
130,125
131,659
132,379
133,27
134,318
135,390
136,244
137,225
138,300
139,337
140,671
141,687
142,603
143,301
144,674
145,149
146,12
147,465
148,667
149,665
150,700
151,355
152,385
153,546
154,190
155,381
156,412
157,650
158,370
159,517
160,418
161,500
162,339
163,462
164,322
165,716
166,144
167,105
168,239
169,304
170,609
171,330
172,396
173,340
174,541
175,616
176,717
177,527
178,699
179,281
180,28
181,520
182,410
183,80
184,288
185,670
186,362
187,257
188,664
189,238
190,444
191,539
192,455
193,529
194,114
195,189
196,294
197,672
198,3
199,702
200,250
201,268
202,411
203,70
204,14
205,354
206,481
207,140
208,397
209,443
210,58
211,176
212,583
213,604
214,726
215,557
216,323
217,7
218,321
219,314
220,360
221,69
222,193
223,209
224,112
225,498
226,413
227,89
228,258
229,54
230,91
231,311
232,131
233,269
234,635
235,245
236,692
237,383
238,558
239,352
240,230
241,543
242,594
243,585
244,4
245,343
246,538
247,162
248,151
249,305
250,553
251,619
252,675
253,8
254,127
255,108
256,81
257,523
258,188
259,618
260,282
261,124
262,567
263,560
264,632
265,596
266,217
267,627
268,332
269,485
270,42
271,329
272,479
273,490
274,492
275,47
276,511
277,456
278,177
279,313
280,243
281,389
282,241
283,312
284,155
285,290
286,173
287,253
288,361
289,505
290,43
291,90
292,691
293,494
294,135
295,641
296,690
297,170
298,166
299,0
300,201
301,535
302,160
303,423
304,662
305,152
306,513
307,265
308,50
309,180
310,298
311,549
312,279
313,348
314,325
315,584
316,307
317,402
318,56
319,577
320,132
321,51
322,34
323,480
324,204
325,11
326,655
327,551
328,680
329,669
330,19
331,679
332,97
333,576
334,419
335,470
336,297
337,431
338,486
339,428
340,681
341,430
342,394
343,133
344,357
345,260
346,345
347,713
348,13
349,509
350,68
351,316
352,395
353,629
354,720
355,178
356,364
357,478
358,392
359,719
360,380
361,718
362,185
363,272
364,278
365,287
366,626
367,283
368,194
369,571
370,695
371,449
372,273
373,6
374,221
375,60
376,606
377,102
378,296
379,101
380,547
381,169
382,45
383,620
384,44
385,651
386,706
387,65
388,514
389,593
390,572
391,233
392,519
393,229
394,647
395,686
396,682
397,137
398,86
399,696
400,488
401,459
402,438
403,285
404,98
405,533
406,94
407,461
408,115
409,643
410,460
411,375
412,378
413,251
414,501
415,263
416,377
417,334
418,30
419,38
420,521
421,35
422,724
423,187
424,648
425,128
426,491
427,452
428,174
429,1
430,181
431,581
432,715
433,693
434,123
435,183
436,212
437,222
438,722
439,118
440,234
441,33
442,454
443,247
444,20
445,712
446,559
447,405
448,646
449,630
450,474
451,236
452,82
453,729
454,157
455,277
456,483
457,441
458,532
459,373
460,429
461,446
462,134
463,113
464,328
465,453
466,652
467,578
468,575
469,663
470,208
471,369
472,512
473,213
474,388
475,359
476,36
477,99
478,143
479,526
480,384
481,447
482,451
483,235
484,656
485,542
486,408
487,246
488,426
489,391
490,399
491,728
492,417
493,214
494,88
495,55
496,435
497,570
498,111
499,171
500,555
501,356
502,248
503,353
504,308
505,653
506,295
507,420
508,614
509,640
510,644
