,ÉfÅ[É^
0,71
1,83
2,88
3,23
4,174
5,24
6,131
7,97
8,126
9,68
10,77
11,82
12,103
13,140
14,50
15,128
16,153
17,75
18,48
19,120
20,94
21,135
22,113
23,9
24,61
25,14
26,176
27,65
28,106
29,89
30,73
31,51
32,157
33,139
34,122
35,134
36,54
37,165
38,101
39,136
40,114
41,45
42,155
43,3
44,98
45,85
46,84
47,179
48,172
49,92
50,38
51,34
52,57
53,117
54,28
55,67
56,12
57,178
58,169
59,121
60,8
61,171
62,150
63,116
64,167
65,168
66,46
67,31
68,162
69,160
70,123
71,64
72,107
73,175
74,78
75,147
76,69
77,74
78,79
79,33
80,7
81,124
82,164
83,41
84,144
85,62
86,1
87,44
88,52
89,16
90,138
91,146
92,177
93,87
94,30
95,53
96,112
97,21
98,37
99,170
100,2
101,10
102,95
103,163
104,26
105,109
106,151
107,58
108,32
109,154
110,5
111,56
112,72
113,49
114,166
115,70
116,29
117,63
118,42
119,76
120,148
121,125
122,91
123,130
124,6
125,102
126,66
127,22
