,ÉfÅ[É^
0,179
1,110
2,147
3,69
4,172
5,112
6,95
7,150
8,80
9,90
10,111
11,109
12,74
13,125
14,137
15,173
16,152
17,164
18,159
19,102
20,76
21,106
22,149
23,169
24,136
25,127
26,174
27,117
28,143
29,77
30,132
31,88
32,175
33,158
34,71
35,81
36,170
37,70
38,116
39,182
40,162
41,87
42,156
43,94
44,167
45,85
46,96
47,108
48,104
49,131
50,133
51,115
52,157
53,160
54,118
55,128
56,139
57,165
58,97
59,75
60,113
61,89
62,161
63,67
64,82
65,78
66,123
67,168
68,63
69,62
70,64
71,114
72,126
73,135
74,177
75,121
76,148
77,92
78,176
79,83
80,134
81,93
82,86
83,145
84,65
