,ÉfÅ[É^
0,35
1,216
2,113
3,141
4,14
5,337
6,219
7,44
8,150
9,221
10,3
11,71
12,212
13,318
14,77
15,208
16,161
17,292
18,268
19,275
20,132
21,24
22,74
23,85
24,199
25,49
26,170
27,17
28,194
29,348
30,8
31,119
32,237
33,352
34,72
35,191
36,68
37,324
38,143
39,116
40,335
41,263
42,267
43,117
44,299
45,349
46,261
47,154
48,332
49,236
50,323
51,322
52,231
53,188
54,110
55,342
56,334
57,214
58,266
59,253
60,107
61,328
62,360
63,88
64,52
65,283
66,146
67,354
68,315
69,195
70,75
71,109
72,179
73,0
74,91
75,247
76,2
77,158
78,90
79,248
80,186
81,294
82,226
83,306
84,63
85,1
86,53
87,92
88,345
89,190
90,83
91,288
92,176
93,42
94,54
95,198
96,45
97,47
98,228
99,358
100,126
101,101
102,64
103,7
104,189
105,330
106,296
107,127
108,133
109,300
110,314
111,278
112,258
113,118
114,308
115,363
116,255
117,166
118,309
119,280
120,346
121,269
122,9
123,57
124,196
125,59
126,50
127,21
128,265
129,272
130,274
131,270
132,320
133,167
134,79
135,359
136,125
137,159
138,290
139,43
140,27
141,37
142,124
143,251
144,183
145,343
146,252
147,10
148,86
149,33
150,209
151,353
152,130
153,185
154,69
155,93
156,98
157,129
158,181
159,238
160,317
161,223
162,331
163,56
164,145
165,319
166,19
167,325
168,115
169,254
170,97
171,135
172,151
173,210
174,321
175,112
176,103
177,301
178,78
179,100
180,148
181,204
182,184
183,241
184,48
185,22
186,362
187,76
188,34
189,222
190,58
191,279
192,213
193,137
194,341
195,277
196,244
197,114
198,66
199,82
200,200
201,361
202,104
203,157
204,149
205,111
206,250
207,220
208,102
209,298
210,160
211,229
212,175
213,31
214,307
215,96
216,239
217,144
218,286
219,87
220,147
221,207
222,51
223,340
224,4
225,40
226,131
227,293
228,16
229,232
230,142
231,155
232,339
233,312
234,235
235,333
236,138
237,12
238,291
239,123
240,233
241,329
242,80
243,173
244,62
245,46
246,38
247,168
248,311
249,356
250,153
251,355
252,180
253,245
254,227
