,ÉfÅ[É^
0,341
1,209
2,291
3,71
4,4
5,352
6,318
7,36
8,234
9,77
10,130
11,208
12,344
13,103
14,156
15,237
16,34
17,271
18,78
19,28
20,47
21,8
22,225
23,247
24,106
25,255
26,203
27,316
28,128
29,280
30,138
31,46
32,259
33,289
34,296
35,361
36,181
37,288
38,308
39,278
40,84
41,233
42,141
43,322
44,326
45,45
46,149
47,44
48,90
49,307
50,82
51,177
52,256
53,192
54,351
55,342
56,321
57,140
58,6
59,169
60,294
61,213
62,363
63,107
64,204
65,172
66,188
67,243
68,12
69,15
70,136
71,219
72,328
73,327
74,40
75,59
76,160
77,267
78,180
79,96
80,295
81,282
82,65
83,303
84,31
85,224
86,346
87,29
88,109
89,93
90,60
91,206
92,221
93,194
94,184
95,49
96,205
97,143
98,251
99,348
100,51
101,248
102,298
103,21
104,79
105,135
106,56
107,304
108,330
109,69
