,ÉfÅ[É^
0,54
1,192
2,232
3,15
4,218
5,16
6,9
7,239
8,34
9,26
10,35
11,237
12,235
13,210
14,207
15,234
16,46
17,2
18,32
19,41
20,205
21,48
22,220
23,47
24,212
25,213
26,21
27,209
28,1
29,7
30,0
31,187
32,49
33,197
34,215
35,208
36,224
37,194
38,191
39,5
40,184
41,221
42,195
43,8
44,231
45,199
46,236
47,189
48,222
49,4
50,211
51,30
52,230
53,202
54,45
55,241
56,57
57,10
58,22
59,42
60,55
61,27
62,226
63,183
64,13
65,243
66,198
67,50
68,225
69,17
70,242
71,36
72,53
73,193
74,228
75,56
76,38
77,25
78,201
79,204
80,196
81,52
82,28
83,240
84,33
