,ÉfÅ[É^
0,1505
1,1977
2,403
3,189
4,807
5,1884
6,1023
7,1250
8,2625
9,1902
10,903
11,599
12,1938
13,1808
14,207
15,1702
16,980
17,2559
18,144
19,1763
20,887
21,1277
22,402
23,832
24,259
25,881
26,2675
27,1665
28,2152
29,593
30,2825
31,1422
32,2793
33,2045
34,225
35,179
36,1729
37,2631
38,187
39,2353
40,2404
41,861
42,2709
43,558
44,1350
45,2614
46,1761
47,1299
48,623
49,367
50,551
51,2483
52,2820
53,1403
54,1762
55,1258
56,1583
57,1976
58,2262
59,2554
60,2909
61,1400
62,1457
63,2012
64,2662
65,906
66,2329
67,1698
68,1423
69,1860
70,2424
71,2809
72,1782
73,2379
74,1437
75,1694
76,1091
77,1709
78,1200
79,1607
80,2018
81,2143
82,1112
83,2027
84,544
85,1950
86,1246
87,171
88,2602
89,2817
90,314
91,987
92,424
93,750
94,1434
95,1704
96,1348
97,549
98,1657
99,2588
100,2865
101,241
102,260
103,2758
104,1788
105,956
106,2391
107,2134
108,2386
109,227
110,2543
111,1016
112,2517
113,1447
114,898
115,2073
116,356
117,561
118,485
119,2485
120,2439
121,2075
122,507
123,2913
124,1402
125,1966
126,998
127,873
128,148
129,2230
130,619
131,2342
132,1846
133,877
134,1118
135,1924
136,1961
137,1420
138,1824
139,1428
140,1511
141,1703
142,2577
143,2103
144,2094
145,2895
146,2783
147,1213
148,2235
149,2738
150,2761
151,2277
152,764
153,1357
154,1493
155,1209
156,2247
157,703
158,1187
159,543
160,1562
161,2562
162,2130
163,2596
164,2842
165,1589
166,2371
167,1043
168,1393
169,1285
170,943
171,711
172,687
173,2041
174,365
175,1675
176,1329
177,59
178,1908
179,869
180,2615
181,863
182,1643
183,2388
184,2194
185,1305
186,1858
187,1197
188,2161
189,570
190,61
191,1012
192,1138
193,1182
194,2527
195,494
196,441
197,2111
198,1904
199,501
200,1003
201,1733
202,53
203,466
204,2118
205,228
206,940
207,1682
208,2882
209,1813
210,957
211,2362
212,2684
213,2467
214,442
215,280
216,493
217,1427
218,1443
219,2200
220,1873
221,2440
222,2672
223,1943
224,2224
225,1650
226,1298
227,675
228,48
229,2854
230,688
231,1221
232,782
233,942
234,1722
235,1363
236,2914
237,970
238,1522
239,5
240,1573
241,2361
242,860
243,1432
244,435
245,1528
246,31
247,1991
248,1364
249,1162
250,2338
251,1096
252,948
253,2415
254,1681
255,742
256,1646
257,281
258,855
259,2555
260,222
261,357
262,1082
263,2076
264,1712
265,1005
266,571
267,2890
268,653
269,2568
270,2613
271,1223
272,936
273,2606
274,1659
275,2832
276,2294
277,640
278,2509
279,2480
280,2536
281,1714
282,340
283,789
284,2714
285,1047
286,1678
287,278
288,1065
289,1963
290,458
291,1623
292,796
293,2622
294,363
295,1435
296,1407
297,1896
298,1158
299,910
300,876
301,2557
302,2576
303,1313
304,2829
305,2794
306,2245
307,820
308,2915
309,1413
310,2782
311,1912
312,1346
313,982
314,999
315,1032
316,2258
317,567
318,1300
319,2203
320,2521
321,335
322,591
323,1936
324,192
325,2771
326,80
327,1743
328,1599
329,2340
330,2925
331,94
332,1974
333,1233
334,2630
335,2755
336,2902
337,790
338,2712
339,2366
340,2336
341,258
342,1625
343,1614
344,226
345,1273
346,1089
347,1452
348,1626
349,2307
350,2604
351,1242
352,725
353,1268
354,2279
355,2234
356,392
357,1526
358,541
359,1131
360,2396
361,1487
362,2581
363,2325
364,1577
365,1243
366,1536
367,257
368,2112
369,1028
370,2803
371,2395
372,845
373,2461
374,2271
375,939
376,1053
377,166
378,1042
379,2096
380,816
381,173
382,2745
383,102
384,1127
385,882
386,1189
387,2320
388,1995
389,1255
390,511
391,1479
392,1999
393,2098
394,519
395,1018
396,1656
397,2308
398,1356
399,938
400,1510
401,1490
402,2680
403,210
404,2136
405,1901
406,1820
407,1415
408,1436
409,774
410,950
411,2546
412,2806
413,1290
414,1529
415,329
416,277
417,2243
418,1080
419,2638
420,2204
421,1676
422,1199
423,351
424,127
425,2796
426,390
427,1922
428,295
429,2214
430,627
431,2121
432,2437
433,2516
434,1404
435,1550
436,2617
437,1806
438,830
439,1911
440,2169
441,2775
442,1280
443,1445
444,1967
445,2816
446,2799
447,490
448,1007
449,2160
450,425
451,482
452,506
453,331
454,2847
455,731
456,2113
457,2810
458,1699
459,1888
460,1107
461,2566
462,1340
463,2733
464,2368
465,801
466,526
467,1800
468,2907
469,2356
470,1812
471,779
472,1430
473,2887
474,951
475,1956
476,1595
477,1629
478,695
479,1265
480,633
481,2747
482,2777
483,2547
484,1796
485,2141
486,2845
487,636
488,1466
489,1026
490,1238
491,234
492,2179
493,1247
494,2346
495,944
496,1696
497,2859
498,560
499,1746
500,994
501,397
502,538
503,2414
504,2413
505,202
506,2605
507,420
508,2664
509,775
510,1426
511,2052
512,364
513,902
514,2048
515,2766
516,639
517,1520
518,1933
519,821
520,602
521,2446
522,1355
523,1451
524,2004
525,293
526,395
527,872
528,1167
529,918
530,929
531,899
532,38
533,2397
534,2874
535,837
536,1769
537,358
538,1230
539,751
540,955
541,844
542,1497
543,1836
544,1917
545,267
546,1942
547,1122
548,1067
549,1304
550,771
551,2407
552,2153
553,928
554,1327
555,1489
556,682
557,1145
558,129
559,1411
560,1829
561,2324
562,1271
563,2826
564,317
565,2255
566,1866
567,1872
568,2707
569,43
570,852
571,1903
572,1135
573,243
574,2463
575,2861
576,1533
577,2365
578,2548
579,1660
580,2731
581,2251
582,2535
583,533
584,626
585,1084
586,2525
587,223
588,2601
589,2029
590,1838
591,146
592,341
593,1196
594,1150
595,2739
596,545
597,587
598,2858
599,865
600,107
601,240
602,2790
603,1634
604,2102
605,100
606,1289
607,598
608,674
609,1628
610,2175
611,112
612,1124
613,2834
614,344
615,669
616,1234
617,2426
618,2213
619,1804
620,1349
621,468
622,1663
623,265
624,1711
625,1612
626,846
627,1406
628,2637
629,1980
630,2656
631,988
632,2047
633,2184
634,1797
635,714
636,2756
637,2823
638,2636
639,1161
640,1202
641,885
642,2385
643,748
644,1193
645,417
646,2167
647,2597
648,2593
649,620
650,1259
651,1416
652,239
653,2612
654,2061
655,1001
656,1130
657,1543
658,2703
659,135
660,2866
661,2857
662,625
663,1578
664,446
665,1825
666,2044
667,651
668,67
669,1030
670,1317
671,2561
672,1645
673,1613
674,168
675,2801
676,2639
677,1024
678,2916
679,1055
680,310
681,108
682,104
683,1760
684,1684
685,2688
686,422
687,1218
688,489
689,941
690,1513
691,165
692,1542
693,548
694,2616
695,2227
696,1603
697,487
698,2545
699,1064
700,1968
701,2137
702,2196
703,328
704,1049
705,897
706,2523
707,575
708,1811
709,178
710,224
711,1226
712,772
713,153
714,878
715,2537
716,1371
717,2729
718,1814
719,2069
720,2132
721,600
722,1186
723,2744
724,1631
725,44
726,2515
727,1508
728,1885
729,399
730,74
731,1362
732,1747
733,617
734,2871
735,1157
736,1212
737,138
738,562
739,455
740,2477
741,1002
742,1062
743,841
744,805
745,605
746,1648
747,2626
748,732
749,1104
750,738
751,739
752,1867
753,2115
754,2632
755,321
756,1755
757,1574
758,1649
759,1560
760,221
761,2904
762,1361
763,1718
764,765
765,2389
766,2891
767,92
768,1559
769,1928
770,2209
771,39
772,1609
773,1438
774,527
775,1431
776,893
777,111
778,741
779,979
780,1518
781,2191
782,2285
783,2005
784,2700
785,1581
786,396
787,2116
788,2552
789,630
790,66
791,2150
792,923
793,556
794,2720
795,1103
796,1128
797,1596
798,1509
799,1744
800,849
801,2228
802,1738
803,2082
804,1672
805,2071
806,1037
807,744
808,151
809,308
810,2107
811,1485
812,1154
813,342
814,2839
815,756
816,678
817,1473
818,2837
819,2502
820,372
821,1558
822,1219
823,51
824,2088
825,1557
826,968
827,1635
828,2808
829,2014
830,2531
831,2410
832,311
833,1551
834,97
835,1477
836,449
837,1390
838,729
839,972
840,2880
841,1688
842,1992
843,1251
844,1383
845,2807
846,2500
847,1210
848,2750
849,1818
850,1958
851,590
852,2159
853,1482
854,2802
855,1108
856,911
857,1148
858,434
859,1931
860,2863
861,486
862,1798
863,723
864,2393
865,838
866,475
867,1728
868,2154
869,2343
870,2655
871,1081
872,582
873,1639
874,2868
875,2572
876,2043
877,496
878,720
879,1071
880,1870
881,123
882,1506
883,2489
884,916
885,47
886,1895
887,995
888,461
889,1734
890,977
891,2644
892,1155
893,1748
894,585
895,237
896,1109
897,917
898,149
899,517
900,2473
901,784
902,1954
903,2683
904,2466
905,2718
906,1229
907,559
908,2495
909,2408
910,1073
911,315
912,2855
913,2470
914,1658
915,2086
916,1000
917,1523
918,1707
919,2215
920,2441
921,2084
922,1335
923,1778
924,1835
925,2166
926,2734
927,2550
928,1020
929,126
930,33
931,1501
932,1414
933,922
934,658
935,2419
936,91
937,1507
938,1331
939,1962
940,1006
941,960
942,819
943,1753
944,430
945,800
946,215
947,35
948,1424
949,70
950,2693
951,1723
952,2317
953,1461
954,1180
955,1194
956,2070
957,1203
958,1554
959,2127
960,2884
961,2417
962,1582
963,1970
964,1244
965,1417
966,2239
967,1260
968,2888
969,2085
970,2302
971,859
972,1780
973,1735
974,186
975,2182
976,747
977,2651
978,689
979,290
980,610
981,1620
982,1831
983,2425
984,1719
985,1610
986,1136
987,515
988,206
989,93
990,2506
991,99
992,1816
993,1537
994,1116
995,528
996,1011
997,2183
998,2198
999,2838
1000,361
1001,606
1002,2299
1003,1900
1004,2721
1005,2503
1006,478
1007,564
1008,1192
1009,2468
1010,676
1011,1173
1012,524
1013,2210
1014,797
1015,0
1016,2402
1017,2687
1018,2378
1019,2091
1020,2840
1021,2821
1022,1792
1023,2886
1024,577
1025,1713
1026,2843
1027,2704
1028,975
1029,787
1030,360
1031,471
1032,1892
1033,2779
1034,1909
1035,2310
1036,786
1037,1249
1038,2565
1039,473
1040,2540
1041,1907
1042,2023
1043,1171
1044,2306
1045,1385
1046,809
1047,2254
1048,1323
1049,448
1050,1833
1051,1987
1052,1616
1053,2431
1054,634
1055,1683
1056,572
1057,523
1058,1163
1059,1689
1060,1353
1061,2876
1062,611
1063,2511
1064,232
1065,2381
1066,1627
1067,2354
1068,1739
1069,301
1070,309
1071,2695
1072,1725
1073,679
1074,1715
1075,1989
1076,1137
1077,1563
1078,818
1079,913
1080,1094
1081,2390
1082,2358
1083,835
1084,613
1085,77
1086,75
1087,2774
1088,2742
1089,2772
1090,1398
1091,925
1092,1568
1093,2464
1094,2716
1095,1988
1096,386
1097,1266
1098,1914
1099,503
1100,2376
1101,2311
1102,1842
1103,470
1104,205
1105,2877
1106,1387
1107,2293
1108,1960
1109,2569
1110,578
1111,1810
1112,454
1113,2657
1114,1880
1115,1863
1116,1382
1117,1840
1118,1198
1119,1476
1120,269
1121,1450
1122,857
1123,565
1124,2157
1125,698
1126,32
1127,368
1128,804
1129,971
1130,847
1131,2911
1132,288
1133,2732
1134,1378
1135,176
1136,216
1137,362
1138,1826
1139,2309
1140,824
1141,1997
1142,1932
1143,2095
1144,659
1145,2268
1146,1483
1147,1492
1148,1871
1149,23
1150,945
1151,1467
1152,792
1153,719
1154,628
1155,2878
1156,1720
1157,1984
1158,292
1159,1184
1160,2278
1161,2418
1162,616
1163,2781
1164,2263
1165,55
1166,459
1167,1776
1168,350
1169,595
1170,1077
1171,2149
1172,339
1173,1474
1174,2571
1175,1496
1176,2584
1177,1351
1178,1267
1179,536
1180,715
1181,2015
1182,2229
1183,204
1184,933
1185,1376
1186,2108
1187,752
1188,1224
1189,1971
1190,1757
1191,1291
1192,2573
1193,914
1194,2265
1195,2099
1196,1311
1197,159
1198,724
1199,930
1200,2906
1201,2541
1202,1231
1203,745
1204,378
1205,130
1206,29
1207,2259
1208,1667
1209,1164
1210,1978
1211,439
1212,69
1213,811
1214,235
1215,1270
1216,1293
1217,1256
1218,242
1219,2619
1220,1086
1221,2603
1222,349
1223,299
1224,773
1225,1146
1226,45
1227,2504
1228,657
1229,884
1230,2788
1231,2456
1232,380
1233,964
1234,2432
1235,1491
1236,2276
1237,270
1238,1775
1239,2313
1240,1092
1241,1465
1242,413
1243,1046
1244,1106
1245,2668
1246,2090
1247,1570
1248,1286
1249,2409
1250,1220
1251,2501
1252,2384
1253,2000
1254,1897
1255,117
1256,2042
1257,1843
1258,1619
1259,429
1260,1944
1261,2629
1262,72
1263,791
1264,615
1265,2114
1266,635
1267,465
1268,2434
1269,82
1270,1535
1271,2080
1272,2658
1273,26
1274,1890
1275,415
1276,16
1277,2187
1278,2689
1279,2178
1280,1125
1281,2444
1282,1802
1283,1514
1284,935
1285,2185
1286,833
1287,2257
1288,2370
1289,401
1290,2021
1291,2757
1292,1504
1293,217
1294,1060
1295,322
1296,230
1297,2762
1298,1441
1299,194
1300,569
1301,2670
1302,128
1303,184
1304,2363
1305,1830
1306,700
1307,1847
1308,58
1309,2089
1310,1075
1311,1031
1312,2323
1313,622
1314,1322
1315,1668
1316,345
1317,488
1318,2206
1319,1281
1320,2428
1321,1119
1322,2430
1323,2109
1324,618
1325,1940
1326,883
1327,248
1328,912
1329,124
1330,1381
1331,255
1332,1572
1333,2491
1334,823
1335,1017
1336,769
1337,1697
1338,2026
1339,815
1340,2392
1341,648
1342,1033
1343,1464
1344,1883
1345,1740
1346,879
1347,247
1348,2553
1349,2176
1350,2889
1351,730
1352,1354
1353,1245
1354,1394
1355,2713
1356,76
1357,1899
1358,2558
1359,1795
1360,734
1361,2705
1362,1368
1363,1294
1364,692
1365,505
1366,2328
1367,14
1368,753
1369,2296
1370,2624
1371,330
1372,2019
1373,2156
1374,2505
1375,1618
1376,952
1377,4
1378,2526
1379,2270
1380,2292
1381,2181
1382,2452
1383,827
1384,1408
1385,836
1386,1175
1387,1945
1388,1455
1389,736
1390,414
1391,2574
1392,453
1393,760
1394,1121
1395,1179
1396,1661
1397,419
1398,1287
1399,426
1400,966
1401,271
1402,2642
1403,1948
1404,680
1405,1877
1406,1206
1407,717
1408,2708
1409,500
1410,37
1411,1512
1412,2177
1413,13
1414,440
1415,359
1416,699
1417,389
1418,2800
1419,2812
1420,201
1421,305
1422,1687
1423,2735
1424,2580
1425,2013
1426,2144
1427,2533
1428,2327
1429,2332
1430,726
1431,1874
1432,978
1433,256
1434,137
1435,1784
1436,808
1437,2335
1438,1531
1439,1004
1440,589
1441,1232
1442,2101
1443,1454
1444,1632
1445,1809
1446,2016
1447,1301
1448,1458
1449,2339
1450,1517
1451,28
1452,2289
1453,2186
1454,116
1455,1389
1456,1061
1457,1166
1458,2345
1459,1561
1460,2723
1461,1008
1462,1374
1463,416
1464,768
1465,2611
1466,2349
1467,1837
1468,539
1469,1553
1470,1021
1471,298
1472,2274
1473,568
1474,1170
1475,467
1476,2062
1477,2741
1478,848
1479,1332
1480,1823
1481,2538
1482,1790
1483,1853
1484,788
1485,303
1486,122
1487,1059
1488,284
1489,1851
1490,1484
1491,1552
1492,83
1493,2078
1494,2486
1495,1546
1496,1887
1497,2869
1498,1785
1499,2539
1500,642
1501,79
1502,2427
1503,2892
1504,954
1505,6
1506,1495
1507,2453
1508,1396
1509,1575
1510,261
1511,1604
1512,1143
1513,1115
1514,56
1515,1195
1516,2221
1517,1927
1518,2195
1519,2147
1520,840
1521,1524
1522,2792
1523,197
1524,1156
1525,696
1526,2122
1527,81
1528,1370
1529,843
1530,1015
1531,407
1532,1686
1533,318
1534,2326
1535,2220
1536,2131
1537,2305
1538,990
1539,2074
1540,2054
1541,1222
1542,1324
1543,133
1544,155
1545,2472
1546,2827
1547,1486
1548,11
1549,677
1550,2844
1551,794
1552,508
1553,1316
1554,282
1555,233
1556,188
1557,705
1558,1308
1559,1054
1560,1547
1561,1252
1562,1701
1563,327
1564,2804
1565,1854
1566,803
1567,2359
1568,888
1569,1029
1570,2449
1571,2173
1572,802
1573,1499
1574,2138
1575,831
1576,2360
1577,460
1578,1176
1579,1085
1580,1754
1581,2885
1582,1087
1583,1920
1584,504
1585,2344
1586,1133
1587,264
1588,46
1589,718
1590,667
1591,743
1592,641
1593,2529
1594,2272
1595,2618
1596,2330
1597,141
1598,2910
1599,1159
1600,1352
1601,1586
1602,1142
1603,405
1604,1783
1605,262
1606,42
1607,437
1608,1208
1609,263
1610,1584
1611,2583
1612,1540
1613,1488
1614,333
1615,484
1616,2579
1617,119
1618,1044
1619,20
1620,2633
1621,2024
1622,2260
1623,2903
1624,2469
1625,73
1626,1794
1627,2256
1628,1641
1629,2083
1630,793
1631,984
1632,2372
1633,457
1634,691
1635,580
1636,177
1637,1774
1638,2443
1639,2301
1640,1519
1641,727
1642,2607
1643,101
1644,592
1645,2459
1646,1326
1647,479
1648,1515
1649,2242
1650,1929
1651,1261
1652,1624
1653,1791
1654,2445
1655,2429
1656,2
1657,2435
1658,532
1659,1216
1660,1727
1661,158
1662,1647
1663,2822
1664,892
1665,2225
1666,2575
1667,927
1668,2701
1669,1025
1670,981
1671,758
1672,509
1673,967
1674,949
1675,513
1676,40
1677,1982
1678,1373
1679,1671
1680,2422
1681,1695
1682,140
1683,2064
1684,1269
1685,1235
1686,2049
1687,2280
1688,109
1689,2284
1690,476
1691,2236
1692,668
1693,1793
1694,1036
1695,737
1696,118
1697,2133
1698,770
1699,139
1700,1654
1701,306
1702,1636
1703,632
1704,170
1705,2105
1706,2767
1707,1756
1708,510
1709,2661
1710,2067
1711,2647
1712,323
1713,2830
1714,2681
1715,594
1716,2022
1717,1692
1718,686
1719,1395
1720,456
1721,1889
1722,2420
1723,1844
1724,2002
1725,555
1726,1139
1727,1566
1728,1050
1729,2748
1730,2508
1731,1446
1732,1214
1733,312
1734,1228
1735,2894
1736,749
1737,2849
1738,697
1739,1274
1740,2805
1741,1525
1742,1926
1743,1375
1744,2207
1745,2679
1746,1315
1747,716
1748,1516
1749,1207
1750,1781
1751,1462
1752,427
1753,2697
1754,740
1755,2155
1756,707
1757,712
1758,1644
1759,2009
1760,2751
1761,2883
1762,1425
1763,2628
1764,1211
1765,1410
1766,1534
1767,1057
1768,2148
1769,704
1770,142
1771,191
1772,196
1773,867
1774,2065
1775,2763
1776,1592
1777,2677
1778,2128
1779,596
1780,1027
1781,1201
1782,2846
1783,2081
1784,1591
1785,904
1786,2020
1787,2514
1788,1742
1789,2769
1790,68
1791,2046
1792,1481
1793,1072
1794,320
1795,273
1796,1786
1797,1576
1798,98
1799,1181
1800,624
1801,2273
1802,50
1803,1295
1804,2609
1805,336
1806,2851
1807,1779
1808,1459
1809,64
1810,1038
1811,767
1812,78
1813,1602
1814,1981
1815,1041
1816,1397
1817,2652
1818,181
1819,777
1820,1594
1821,621
1822,2460
1823,2519
1824,2304
1825,1058
1826,2039
1827,283
1828,1801
1829,535
1830,817
1831,1276
1832,2398
1833,1724
1834,1151
1835,1770
1836,1910
1837,254
1838,1191
1839,1070
1840,2454
1841,498
1842,1839
1843,1765
1844,2648
1845,1392
1846,10
