,ÉfÅ[É^
0,21
1,3
2,224
3,193
4,52
5,201
6,51
7,183
8,27
9,49
10,238
11,200
12,189
13,208
14,241
15,216
16,242
17,203
18,15
19,223
20,228
21,229
22,184
23,187
24,233
25,214
26,225
27,199
28,220
29,227
30,194
31,42
32,188
33,4
34,222
35,47
36,206
37,57
38,35
39,12
40,11
41,8
42,219
43,46
44,231
45,13
46,39
47,24
48,211
49,48
50,191
51,53
52,43
53,226
54,210
55,36
56,14
57,196
58,237
59,204
60,25
61,33
62,58
63,218
64,0
65,5
66,234
67,50
68,20
69,40
70,23
71,28
72,34
73,198
74,195
75,37
76,205
77,207
78,60
79,232
80,197
81,236
82,230
83,10
84,22
