,ÉfÅ[É^
0,318
1,328
2,317
3,301
4,257
5,349
6,354
7,294
8,267
9,278
10,264
11,342
12,358
13,303
14,269
15,248
16,357
17,323
18,259
19,288
20,286
21,320
22,247
23,344
24,275
25,282
26,330
27,304
28,279
29,308
30,299
31,321
32,265
33,297
34,316
35,290
36,332
37,355
38,270
39,271
40,253
41,260
42,352
43,263
44,336
45,245
46,291
47,337
48,360
49,343
50,283
51,261
52,335
53,292
54,251
55,244
56,326
57,314
58,293
59,252
60,361
61,302
62,284
63,305
64,319
65,272
66,277
67,280
68,289
69,315
70,266
71,287
72,268
73,362
74,339
75,353
76,246
77,276
78,347
79,325
80,348
81,331
82,364
83,345
