,ÉfÅ[É^
0,293
1,479
2,483
3,400
4,325
5,764
6,282
7,114
8,556
9,280
10,498
11,662
12,1023
13,624
14,220
15,994
16,579
17,471
18,890
19,243
20,217
21,545
22,1012
23,677
24,141
25,953
26,834
27,513
28,30
29,139
30,823
31,849
32,931
33,756
34,184
35,984
36,67
37,224
38,530
39,453
40,531
41,183
42,503
43,1016
44,1042
45,338
46,227
47,387
48,606
49,315
50,331
51,419
52,872
53,95
54,675
55,194
56,589
57,504
58,968
59,740
60,272
61,767
62,985
63,4
64,456
65,383
66,423
67,106
68,411
69,295
70,1010
71,189
72,161
73,552
74,288
75,523
76,196
77,822
78,647
79,510
80,941
81,130
82,933
83,757
84,268
85,290
86,438
87,431
88,1030
89,326
90,975
91,1081
92,151
93,150
94,7
95,560
96,302
97,459
98,667
99,807
100,826
101,75
102,487
103,1083
104,1062
105,308
106,385
107,176
108,896
109,181
110,1009
111,801
112,972
113,1004
114,292
115,614
116,1032
117,74
118,429
119,111
120,559
121,722
122,129
123,478
124,494
125,724
126,699
127,973
128,919
129,37
130,425
131,800
132,367
133,674
134,93
135,824
136,544
137,979
138,596
139,825
140,415
141,928
142,760
143,105
144,19
145,389
146,76
147,109
148,1071
149,955
150,569
151,692
152,678
153,113
154,1095
155,660
156,1027
157,476
158,508
159,381
160,570
161,515
162,87
163,466
164,684
165,777
166,333
167,666
168,298
169,649
170,830
171,1014
172,925
173,694
174,519
175,573
176,48
177,73
178,772
179,620
180,426
181,58
182,330
183,962
184,888
185,622
186,372
187,418
188,285
189,436
190,427
191,1068
192,939
193,999
194,277
195,950
196,625
197,64
198,458
199,980
200,842
201,1052
202,891
203,263
204,836
205,557
206,495
207,1079
208,792
209,374
210,537
211,572
212,720
213,462
214,55
215,538
216,135
217,605
218,86
219,948
220,1021
221,526
222,865
223,897
224,186
225,271
226,653
227,633
228,362
229,877
230,565
231,417
232,776
233,391
234,1024
235,689
236,382
237,621
238,39
239,601
240,1028
241,430
242,392
243,582
244,548
245,966
246,603
247,361
248,998
249,707
250,148
251,784
252,991
253,128
254,787
255,12
256,959
257,652
258,234
259,448
260,885
261,1011
262,1018
263,860
264,54
265,681
266,636
267,450
268,580
269,758
270,212
271,851
272,214
273,611
274,657
275,144
276,700
277,488
278,608
279,158
280,82
281,122
282,870
283,1001
284,157
285,424
286,163
287,638
288,399
289,646
290,904
291,829
292,10
293,920
294,167
295,616
296,688
297,363
298,1065
299,635
300,696
301,32
302,977
303,342
304,612
305,222
306,33
307,779
308,245
309,551
310,52
311,294
312,558
313,206
314,593
315,916
316,643
317,1086
318,794
319,312
320,1026
321,719
322,765
323,5
324,45
325,209
326,475
327,725
328,317
