,ÉfÅ[É^
0,52
1,88
2,19
3,73
4,109
5,3
6,37
7,10
8,66
9,87
10,45
11,119
12,103
13,33
14,91
15,15
16,34
17,56
18,111
19,49
20,59
21,112
22,21
23,11
24,9
25,117
26,32
27,17
28,18
29,120
30,51
31,30
32,82
33,58
34,29
35,13
36,72
37,99
38,90
39,102
40,6
41,53
42,74
43,85
44,75
45,50
46,84
47,39
48,38
49,81
50,69
51,121
52,44
53,70
54,101
55,83
56,60
57,79
58,41
59,31
60,24
61,26
62,100
63,77
64,40
65,54
66,93
67,98
68,95
69,68
70,118
71,12
72,42
73,22
74,80
75,55
76,48
77,115
78,1
79,67
80,4
81,107
82,16
83,76
84,5
