,ÉfÅ[É^
0,18
1,232
2,0
3,48
4,11
5,45
6,59
7,202
8,46
9,7
10,211
11,6
12,198
13,191
14,43
15,1
16,236
17,220
18,55
19,27
20,42
21,25
22,225
23,22
24,60
25,205
26,231
27,14
28,5
29,2
30,50
31,44
32,49
33,13
34,219
35,32
36,24
37,207
38,194
39,30
40,21
41,209
42,184
43,56
44,204
45,15
46,195
47,51
48,193
49,237
50,224
51,190
52,20
53,213
54,203
55,34
56,208
57,19
58,188
59,39
60,229
61,17
62,16
63,240
64,206
65,214
66,192
67,215
68,4
69,31
70,199
71,187
72,223
73,58
74,230
75,3
76,210
77,228
78,36
79,40
80,9
81,235
82,10
83,38
84,41
