,ÉfÅ[É^
0,62
1,42
2,155
3,38
4,145
5,54
6,179
7,39
8,77
9,132
10,140
11,74
12,64
13,37
14,118
15,53
16,126
17,7
18,158
19,152
20,128
21,156
22,88
23,93
24,105
25,115
26,21
27,154
28,92
29,102
30,87
31,178
32,57
33,52
34,124
35,137
36,22
37,24
38,10
39,32
40,133
41,103
42,59
43,167
44,26
45,144
46,160
47,136
48,85
49,113
50,68
51,157
52,51
53,162
54,56
55,112
56,0
57,180
58,50
59,117
60,11
61,79
62,23
63,4
64,58
65,27
66,36
67,19
68,41
69,104
70,86
71,94
72,91
73,55
74,170
75,142
76,129
77,18
78,3
79,165
80,175
81,107
82,172
83,125
84,134
85,109
86,106
87,96
88,84
89,131
90,97
91,63
92,161
93,146
94,111
95,95
96,149
97,163
98,8
99,14
100,13
101,48
102,127
103,30
104,101
105,130
106,100
107,166
108,29
109,67
110,141
111,151
112,120
113,135
114,177
115,6
116,17
117,176
118,35
119,25
120,150
121,153
122,46
123,75
124,44
125,114
126,73
127,82
