,ÉfÅ[É^
0,293
1,324
2,321
3,355
4,262
5,304
6,349
7,257
8,330
9,294
10,359
11,319
12,347
13,261
14,270
15,250
16,306
17,338
18,311
19,265
20,252
21,303
22,278
23,335
24,340
25,336
26,248
27,259
28,299
29,247
30,246
31,337
32,290
33,268
34,244
35,327
36,258
37,264
38,284
39,356
40,260
41,273
42,279
43,326
44,302
45,281
46,315
47,308
48,263
49,334
50,295
51,323
52,348
53,297
54,354
55,351
56,320
57,364
58,352
59,362
60,291
61,318
62,341
63,277
64,245
65,316
66,271
67,256
68,289
69,331
70,342
71,325
72,313
73,285
74,310
75,305
76,322
77,345
78,360
79,361
80,267
81,253
82,300
83,317
