,ÉfÅ[É^
0,117
1,104
2,63
3,111
4,95
5,24
6,60
7,35
8,107
9,78
10,76
11,31
12,36
13,13
14,14
15,83
16,66
17,61
18,46
19,50
20,41
21,102
22,27
23,103
24,92
25,0
26,80
27,114
28,2
29,44
30,16
31,19
32,5
33,28
34,109
35,113
36,49
37,42
38,57
39,39
40,67
41,26
42,72
43,25
44,12
45,90
46,34
47,108
48,45
49,119
50,37
51,99
52,100
53,62
54,4
55,116
56,79
57,88
58,15
59,47
60,7
61,30
62,121
63,9
64,8
65,64
66,51
67,6
68,91
69,70
70,48
71,87
72,98
73,20
74,22
75,59
76,40
77,3
78,52
79,10
80,115
81,96
82,17
83,69
84,106
