,0
2019-03-22,78
2019-03-23,105
2019-03-24,92
2019-03-25,86
2019-03-26,77
2019-03-27,88
2019-03-28,90
2019-03-29,102
2019-03-30,87
2019-03-31,74
2019-04-01,82
2019-04-02,105
2019-04-03,108
2019-04-04,104
2019-04-05,84
2019-04-06,82
2019-04-07,63
2019-04-08,86
2019-04-09,82
2019-04-10,116
2019-04-11,100
2019-04-12,102
2019-04-13,105
2019-04-14,83
2019-04-15,77
2019-04-16,84
2019-04-17,78
2019-04-18,84
2019-04-19,85
2019-04-20,80
2019-04-21,61
2019-04-22,86
2019-04-23,96
2019-04-24,89
2019-04-25,105
2019-04-26,99
2019-04-27,85
2019-04-28,64
2019-04-29,59
2019-04-30,88
2019-05-01,58
2019-05-02,92
2019-05-03,83
2019-05-04,76
2019-05-05,49
2019-05-06,52
2019-05-07,82
2019-05-08,76
2019-05-09,83
2019-05-10,100
2019-05-11,96
2019-05-12,66
2019-05-13,83
2019-05-14,95
2019-05-15,105
2019-05-16,125
2019-05-17,118
2019-05-18,110
2019-05-19,98
2019-05-20,122
2019-05-21,113
2019-05-22,122
2019-05-23,126
2019-05-24,146
2019-05-25,135
2019-05-26,99
2019-05-27,164
2019-05-28,158
2019-05-29,144
2019-05-30,143
2019-05-31,149
2019-06-01,130
2019-06-02,90
2019-06-03,152
2019-06-04,156
2019-06-05,152
2019-06-06,169
2019-06-07,163
2019-06-08,126
2019-06-09,83
2019-06-10,107
2019-06-11,128
2019-06-12,120
2019-06-13,141
2019-06-14,158
2019-06-15,92
2019-06-16,97
2019-06-17,145
2019-06-18,158
2019-06-19,167
2019-06-20,168
2019-06-21,160
2019-06-22,148
2019-06-23,100
2019-06-24,137
2019-06-25,160
2019-06-26,173
2019-06-27,162
2019-06-28,177
2019-06-29,141
2019-06-30,101
2019-07-01,150
2019-07-02,168
2019-07-03,179
2019-07-04,161
2019-07-05,159
2019-07-06,124
2019-07-07,106
2019-07-08,144
2019-07-09,139
2019-07-10,150
2019-07-11,143
2019-07-12,146
2019-07-13,129
2019-07-14,88
2019-07-15,106
2019-07-16,143
2019-07-17,169
2019-07-18,171
2019-07-19,178
2019-07-20,146
2019-07-21,113
2019-07-22,170
2019-07-23,173
2019-07-24,174
2019-07-25,176
2019-07-26,187
2019-07-27,171
2019-07-28,119
2019-07-29,185
2019-07-30,188
2019-07-31,187
2019-08-01,196
2019-08-02,180
2019-08-03,174
2019-08-04,144
2019-08-05,188
2019-08-06,190
2019-08-07,193
2019-08-08,189
2019-08-09,192
2019-08-10,164
2019-08-11,124
2019-08-12,136
2019-08-13,188
2019-08-14,184
2019-08-15,187
2019-08-16,181
2019-08-17,172
2019-08-18,133
2019-08-19,174
2019-08-20,182
2019-08-21,184
2019-08-22,175
2019-08-23,183
2019-08-24,148
2019-08-25,116
2019-08-26,177
2019-08-27,179
2019-08-28,178
2019-08-29,182
2019-08-30,173
2019-08-31,171
2019-09-01,126
2019-09-02,184
2019-09-03,170
2019-09-04,176
2019-09-05,179
2019-09-06,178
2019-09-07,150
2019-09-08,125
2019-09-09,170
2019-09-10,189
2019-09-11,177
2019-09-12,182
2019-09-13,182
2019-09-14,136
2019-09-15,120
2019-09-16,131
2019-09-17,182
2019-09-18,172
2019-09-19,168
2019-09-20,159
2019-09-21,118
2019-09-22,87
2019-09-23,140
2019-09-24,171
2019-09-25,178
2019-09-26,177
2019-09-27,175
2019-09-28,136
2019-09-29,116
2019-09-30,168
2019-10-01,182
2019-10-02,165
2019-10-03,163
2019-10-04,169
2019-10-05,147
2019-10-06,87
2019-10-07,153
2019-10-08,154
2019-10-09,150
2019-10-10,156
2019-10-11,150
2019-10-12,52
2019-10-13,69
2019-10-14,98
2019-10-15,125
2019-10-16,105
2019-10-17,109
2019-10-18,104
2019-10-19,92
2019-10-20,78
2019-10-21,113
2019-10-22,62
2019-10-23,121
2019-10-24,99
2019-10-25,105
2019-10-26,98
2019-10-27,69
2019-10-28,99
2019-10-29,96
2019-10-30,93
2019-10-31,82
2019-11-01,91
2019-11-02,87
2019-11-03,61
2019-11-04,87
2019-11-05,95
2019-11-06,94
2019-11-07,89
2019-11-08,88
2019-11-09,93
2019-11-10,69
2019-11-11,0
2019-11-12,78
2019-11-13,92
2019-11-14,79
2019-11-15,87
2019-11-16,86
2019-11-17,77
2019-11-18,92
2019-11-19,79
2019-11-20,95
2019-11-21,92
2019-11-22,111
2019-11-23,113
2019-11-24,80
2019-11-25,92
2019-11-26,88
2019-11-27,88
2019-11-28,95
2019-11-29,104
2019-11-30,93
2019-12-01,98
2019-12-02,114
2019-12-03,101
2019-12-04,115
2019-12-05,104
2019-12-06,125
2019-12-07,142
2019-12-08,100
2019-12-09,123
2019-12-10,102
2019-12-11,112
2019-12-12,100
2019-12-13,121
2019-12-14,105
2019-12-15,109
2019-12-16,104
2019-12-17,115
2019-12-18,104
2019-12-19,108
2019-12-20,102
2019-12-21,129
2019-12-22,117
2019-12-23,128
2019-12-24,126
2019-12-25,144
2019-12-26,0
2019-12-27,132
2019-12-28,119
2019-12-29,78
2019-12-30,71
2019-12-31,64
2020-01-01,51
2020-01-02,52
2020-01-03,49
2020-01-04,129
2020-01-05,116
2020-01-06,145
2020-01-07,144
2020-01-08,157
2020-01-09,116
2020-01-10,125
2020-01-11,139
2020-01-12,106
2020-01-13,128
2020-01-14,130
2020-01-15,135
2020-01-16,121
2020-01-17,115
2020-01-18,152
2020-01-19,122
2020-01-20,123
2020-01-21,111
2020-01-22,142
2020-01-23,149
2020-01-24,111
2020-01-25,144
2020-01-26,140
2020-01-27,138
2020-01-28,147
2020-01-29,119
2020-01-30,118
2020-01-31,110
2020-02-01,122
2020-02-02,113
2020-02-03,127
2020-02-04,129
2020-02-05,134
2020-02-06,136
2020-02-07,157
2020-02-08,123
2020-02-09,103
2020-02-10,153
2020-02-11,138
2020-02-12,124
2020-02-13,118
2020-02-14,92
2020-02-15,97
2020-02-16,117
2020-02-17,103
2020-02-18,109
2020-02-19,103
2020-02-20,108
2020-02-21,103
2020-02-22,106
2020-02-23,81
2020-02-24,94
2020-02-25,97
2020-02-26,126
2020-02-27,117
2020-02-28,110
2020-02-29,90
2020-03-01,103
2020-03-02,114
2020-03-03,96
2020-03-04,110
2020-03-05,106
2020-03-06,108
2020-03-07,110
2020-03-08,118
2020-03-09,118
2020-03-10,93
2020-03-11,84
2020-03-12,95
2020-03-13,101
2020-03-14,115
2020-03-15,91
2020-03-16,120
2020-03-17,123
2020-03-18,110
2020-03-19,99
2020-03-20,91
2020-03-21,95
2020-03-22,68
2020-03-23,110
2020-03-24,110
2020-03-25,118
2020-03-26,110
2020-03-27,96
2020-03-28,103
2020-03-29,120
2020-03-30,113
2020-03-31,120
2020-04-01,105
2020-04-02,102
2020-04-03,88
2020-04-04,106
2020-04-05,99
2020-04-06,94
2020-04-07,91
2020-04-08,99
2020-04-09,98
2020-04-10,108
2020-04-11,108
2020-04-12,101
2020-04-13,123
2020-04-14,111
2020-04-15,86
2020-04-16,91
2020-04-17,91
2020-04-18,112
2020-04-19,78
2020-04-20,89
2020-04-21,81
2020-04-22,87
2020-04-23,88
2020-04-24,89
2020-04-25,96
2020-04-26,55
2020-04-27,88
2020-04-28,82
2020-04-29,82
2020-04-30,76
2020-05-01,78
2020-05-02,71
2020-05-03,62
2020-05-04,78
2020-05-05,84
2020-05-06,86
2020-05-07,69
2020-05-08,76
2020-05-09,64
2020-05-10,56
2020-05-11,121
2020-05-12,105
2020-05-13,112
2020-05-14,111
2020-05-15,108
2020-05-16,67
2020-05-17,61
2020-05-18,96
2020-05-19,98
2020-05-20,89
2020-05-21,92
2020-05-22,82
2020-05-23,75
2020-05-24,50
2020-05-25,90
2020-05-26,104
2020-05-27,111
2020-05-28,97
2020-05-29,102
2020-05-30,103
2020-05-31,62
2020-06-01,114
2020-06-02,128
2020-06-03,146
2020-06-04,144
2020-06-05,154
2020-06-06,140
2020-06-07,89
2020-06-08,144
2020-06-09,170
2020-06-10,172
2020-06-11,176
2020-06-12,182
2020-06-13,111
2020-06-14,80
2020-06-15,169
2020-06-16,176
2020-06-17,168
2020-06-18,167
2020-06-19,128
2020-06-20,130
2020-06-21,71
2020-06-22,124
2020-06-23,151
2020-06-24,151
2020-06-25,134
2020-06-26,171
2020-06-27,135
2020-06-28,78
2020-06-29,168
2020-06-30,161
2020-07-01,166
2020-07-02,178
2020-07-03,169
2020-07-04,113
2020-07-05,117
2020-07-06,161
2020-07-07,169
2020-07-08,167
2020-07-09,147
2020-07-10,159
2020-07-11,161
2020-07-12,126
2020-07-13,157
2020-07-14,170
2020-07-15,151
2020-07-16,143
2020-07-17,126
2020-07-18,108
2020-07-19,87
2020-07-20,184
2020-07-21,180
2020-07-22,180
2020-07-23,138
2020-07-24,154
2020-07-25,138
2020-07-26,113
2020-07-27,179
2020-07-28,192
2020-07-29,176
2020-07-30,177
2020-07-31,182
2020-08-01,141
2020-08-02,131
2020-08-03,186
2020-08-04,189
2020-08-05,183
2020-08-06,184
2020-08-07,182
2020-08-08,153
2020-08-09,138
2020-08-10,169
2020-08-11,190
2020-08-12,191
2020-08-13,187
2020-08-14,186
2020-08-15,174
2020-08-16,136
2020-08-17,183
2020-08-18,201
2020-08-19,189
2020-08-20,191
2020-08-21,195
2020-08-22,154
2020-08-23,134
2020-08-24,191
2020-08-25,185
2020-08-26,188
2020-08-27,193
2020-08-28,197
2020-08-29,174
2020-08-30,138
2020-08-31,183
2020-09-01,183
2020-09-02,192
2020-09-03,197
2020-09-04,183
2020-09-05,156
2020-09-06,139
2020-09-07,175
2020-09-08,186
2020-09-09,184
2020-09-10,196
2020-09-11,193
2020-09-12,146
2020-09-13,123
2020-09-14,169
2020-09-15,168
2020-09-16,172
2020-09-17,182
2020-09-18,193
2020-09-19,132
2020-09-20,122
2020-09-21,109
2020-09-22,128
2020-09-23,145
2020-09-24,125
2020-09-25,122
2020-09-26,94
2020-09-27,64
2020-09-28,122
2020-09-29,127
2020-09-30,120
2020-10-01,127
2020-10-02,128
2020-10-03,119
2020-10-04,77
2020-10-05,143
2020-10-06,121
2020-10-07,113
2020-10-08,93
2020-10-09,91
2020-10-10,86
2020-10-11,61
2020-10-12,102
2020-10-13,128
2020-10-14,108
2020-10-15,112
2020-10-16,96
2020-10-17,96
2020-10-18,76
2020-10-19,90
2020-10-20,87
2020-10-21,92
2020-10-22,105
2020-10-23,97
2020-10-24,92
2020-10-25,78
2020-10-26,92
2020-10-27,91
2020-10-28,102
2020-10-29,101
2020-10-30,95
2020-10-31,107
2020-11-01,88
2020-11-02,98
2020-11-03,74
2020-11-04,102
2020-11-05,101
2020-11-06,90
2020-11-07,94
2020-11-08,71
2020-11-09,92
2020-11-10,84
2020-11-11,92
2020-11-12,106
2020-11-13,93
2020-11-14,84
2020-11-15,77
2020-11-16,94
2020-11-17,89
2020-11-18,82
2020-11-19,79
2020-11-20,96
2020-11-21,96
2020-11-22,89
2020-11-23,85
2020-11-24,93
2020-11-25,100
2020-11-26,96
2020-11-27,105
2020-11-28,109
2020-11-29,109
2020-11-30,90
2020-12-01,105
2020-12-02,123
2020-12-03,129
2020-12-04,105
2020-12-05,138
2020-12-06,119
2020-12-07,118
2020-12-08,113
2020-12-09,130
2020-12-10,123
2020-12-11,102
2020-12-12,133
2020-12-13,113
2020-12-14,131
2020-12-15,143
2020-12-16,148
2020-12-17,145
2020-12-18,125
2020-12-19,142
2020-12-20,119
2020-12-21,143
2020-12-22,158
2020-12-23,150
2020-12-24,152
2020-12-25,146
2020-12-26,120
2020-12-27,125
2020-12-28,135
2020-12-29,98
2020-12-30,56
2020-12-31,56
2021-01-01,51
2021-01-02,50
2021-01-03,55
2021-01-04,151
2021-01-05,144
2021-01-06,173
2021-01-07,164
2021-01-08,160
2021-01-09,155
2021-01-10,144
2021-01-11,157
2021-01-12,171
2021-01-13,161
2021-01-14,161
2021-01-15,164
2021-01-16,133
2021-01-17,127
2021-01-18,152
2021-01-19,165
2021-01-20,161
2021-01-21,164
2021-01-22,145
2021-01-23,146
2021-01-24,129
2021-01-25,141
2021-01-26,159
2021-01-27,157
2021-01-28,151
2021-01-29,161
2021-01-30,153
2021-01-31,137
2021-02-01,149
2021-02-02,163
2021-02-03,149
2021-02-04,152
2021-02-05,136
2021-02-06,132
2021-02-07,112
2021-02-08,152
2021-02-09,159
2021-02-10,162
2021-02-11,164
2021-02-12,132
2021-02-13,134
2021-02-14,112
2021-02-15,123
2021-02-16,124
2021-02-17,128
2021-02-18,160
2021-02-19,148
2021-02-20,140
2021-02-21,102
2021-02-22,89
2021-02-23,121
2021-02-24,150
2021-02-25,155
2021-02-26,134
2021-02-27,123
2021-02-28,116
2021-03-01,135
2021-03-02,128
2021-03-03,143
2021-03-04,138
2021-03-05,121
2021-03-06,104
2021-03-07,108
2021-03-08,150
2021-03-09,133
2021-03-10,132
2021-03-11,117
2021-03-12,110
2021-03-13,113
2021-03-14,103
2021-03-15,106
2021-03-16,118
2021-03-17,108
2021-03-18,127
2021-03-19,118
2021-03-20,124
2021-03-21,77
2021-03-22,107
2021-03-23,119
2021-03-24,106
2021-03-25,106
2021-03-26,86
2021-03-27,121
2021-03-28,88
2021-03-29,83
2021-03-30,88
2021-03-31,94
2021-04-01,83
2021-04-02,92
2021-04-03,98
2021-04-04,71
2021-04-05,97
2021-04-06,98
2021-04-07,99
2021-04-08,94
2021-04-09,100
2021-04-10,97
2021-04-11,81
2021-04-12,89
2021-04-13,83
2021-04-14,110
2021-04-15,93
2021-04-16,88
2021-04-17,93
2021-04-18,78
2021-04-19,91
2021-04-20,91
2021-04-21,91
2021-04-22,95
2021-04-23,100
2021-04-24,88
2021-04-25,53
2021-04-26,81
2021-04-27,97
2021-04-28,100
2021-04-29,88
2021-04-30,88
2021-05-01,82
2021-05-02,57
2021-05-03,92
2021-05-04,83
2021-05-05,79
2021-05-06,90
2021-05-07,100
2021-05-08,84
2021-05-09,62
2021-05-10,115
2021-05-11,97
2021-05-12,97
2021-05-13,97
2021-05-14,113
2021-05-15,103
2021-05-16,50
2021-05-17,130
2021-05-18,146
2021-05-19,129
2021-05-20,110
2021-05-21,130
2021-05-22,88
2021-05-23,65
2021-05-24,125
2021-05-25,146
2021-05-26,141
2021-05-27,135
2021-05-28,137
2021-05-29,112
2021-05-30,75
2021-05-31,151
2021-06-01,147
2021-06-02,161
2021-06-03,147
2021-06-04,143
2021-06-05,124
2021-06-06,75
2021-06-07,151
2021-06-08,175
2021-06-09,170
2021-06-10,166
2021-06-11,168
2021-06-12,143
2021-06-13,111
2021-06-14,157
2021-06-15,168
2021-06-16,160
2021-06-17,149
2021-06-18,155
2021-06-19,111
2021-06-20,86
2021-06-21,165
2021-06-22,161
2021-06-23,161
2021-06-24,152
2021-06-25,167
2021-06-26,139
2021-06-27,106
2021-06-28,164
2021-06-29,163
2021-06-30,143
2021-07-01,149
2021-07-02,149
2021-07-03,132
2021-07-04,89
2021-07-05,151
2021-07-06,166
2021-07-07,178
2021-07-08,174
2021-07-09,165
2021-07-10,159
2021-07-11,113
2021-07-12,178
2021-07-13,192
2021-07-14,186
2021-07-15,186
2021-07-16,193
2021-07-17,142
2021-07-18,138
2021-07-19,188
2021-07-20,189
2021-07-21,193
2021-07-22,177
2021-07-23,174
2021-07-24,162
2021-07-25,126
2021-07-26,177
2021-07-27,188
2021-07-28,190
2021-07-29,194
2021-07-30,185
2021-07-31,157
2021-08-01,136
2021-08-02,190
2021-08-03,189
2021-08-04,189
2021-08-05,193
2021-08-06,194
2021-08-07,156
2021-08-08,120
2021-08-09,166
2021-08-10,194
2021-08-11,185
2021-08-12,178
2021-08-13,177
2021-08-14,128
2021-08-15,81
2021-08-16,141
2021-08-17,169
2021-08-18,185
2021-08-19,191
2021-08-20,183
2021-08-21,165
2021-08-22,130
2021-08-23,189
2021-08-24,189
2021-08-25,202
2021-08-26,197
2021-08-27,189
2021-08-28,165
2021-08-29,130
2021-08-30,189
2021-08-31,191
2021-09-01,167
2021-09-02,137
2021-09-03,131
2021-09-04,115
2021-09-05,68
2021-09-06,128
2021-09-07,132
2021-09-08,143
2021-09-09,139
2021-09-10,175
2021-09-11,134
2021-09-12,100
2021-09-13,178
2021-09-14,170
2021-09-15,176
2021-09-16,168
2021-09-17,171
2021-09-18,146
2021-09-19,102
2021-09-20,120
2021-09-21,167
2021-09-22,184
2021-09-23,161
2021-09-24,168
2021-09-25,124
2021-09-26,84
2021-09-27,136
2021-09-28,134
2021-09-29,160
2021-09-30,166
2021-10-01,119
2021-10-02,123
2021-10-03,91
2021-10-04,159
2021-10-05,163
2021-10-06,163
2021-10-07,147
2021-10-08,154
2021-10-09,124
2021-10-10,67
2021-10-11,160
2021-10-12,138
2021-10-13,110
2021-10-14,130
2021-10-15,139
2021-10-16,108
2021-10-17,68
2021-10-18,90
2021-10-19,90
2021-10-20,102
2021-10-21,106
2021-10-22,107
2021-10-23,107
2021-10-24,88
2021-10-25,116
2021-10-26,118
2021-10-27,122
2021-10-28,111
2021-10-29,117
2021-10-30,92
2021-10-31,85
2021-11-01,112
2021-11-02,111
2021-11-03,94
2021-11-04,122
2021-11-05,109
2021-11-06,103
2021-11-07,85
2021-11-08,115
2021-11-09,101
2021-11-10,95
2021-11-11,103
2021-11-12,99
2021-11-13,117
2021-11-14,89
2021-11-15,118
2021-11-16,99
2021-11-17,102
2021-11-18,118
2021-11-19,116
2021-11-20,90
2021-11-21,87
2021-11-22,122
2021-11-23,102
2021-11-24,139
2021-11-25,120
2021-11-26,123
2021-11-27,108
2021-11-28,94
2021-11-29,130
2021-11-30,118
2021-12-01,120
2021-12-02,131
2021-12-03,117
2021-12-04,124
2021-12-05,112
2021-12-06,130
2021-12-07,123
2021-12-08,139
2021-12-09,126
2021-12-10,127
2021-12-11,122
2021-12-12,116
2021-12-13,135
2021-12-14,132
2021-12-15,148
2021-12-16,127
2021-12-17,132
2021-12-18,131
2021-12-19,117
2021-12-20,140
2021-12-21,136
2021-12-22,142
2021-12-23,134
2021-12-24,123
2021-12-25,159
2021-12-26,119
2021-12-27,146
2021-12-28,145
2021-12-29,138
2021-12-30,68
2021-12-31,50
2022-01-01,48
2022-01-02,49
2022-01-03,55
2022-01-04,147
2022-01-05,166
2022-01-06,171
2022-01-07,169
2022-01-08,146
2022-01-09,126
2022-01-10,155
2022-01-11,167
2022-01-12,154
2022-01-13,162
2022-01-14,174
2022-01-15,127
2022-01-16,119
2022-01-17,156
2022-01-18,162
2022-01-19,163
2022-01-20,171
2022-01-21,165
2022-01-22,132
2022-01-23,125
2022-01-24,155
2022-01-25,158
2022-01-26,155
2022-01-27,145
2022-01-28,151
2022-01-29,142
2022-01-30,123
2022-01-31,148
2022-02-01,153
2022-02-02,161
2022-02-03,148
2022-02-04,145
2022-02-05,132
2022-02-06,122
2022-02-07,158
2022-02-08,163
2022-02-09,152
2022-02-10,165
2022-02-11,148
2022-02-12,149
2022-02-13,128
2022-02-14,163
2022-02-15,166
2022-02-16,156
2022-02-17,167
2022-02-18,148
2022-02-19,132
2022-02-20,122
2022-02-21,149
2022-02-22,162
2022-02-23,153
2022-02-24,153
2022-02-25,153
2022-02-26,157
2022-02-27,114
2022-02-28,122
2022-03-01,125
2022-03-02,127
2022-03-03,129
2022-03-04,134
2022-03-05,121
2022-03-06,107
2022-03-07,113
2022-03-08,144
2022-03-09,126
2022-03-10,124
2022-03-11,107
2022-03-12,90
2022-03-13,73
2022-03-14,82
2022-03-15,120
2022-03-16,100
2022-03-17,108
2022-03-18,131
2022-03-19,107
2022-03-20,101
2022-03-21,116
2022-03-22,133
2022-03-23,116
2022-03-24,117
2022-03-25,117
2022-03-26,97
2022-03-27,77
2022-03-28,109
2022-03-29,109
2022-03-30,101
2022-03-31,94
2022-04-01,118
2022-04-02,112
2022-04-03,117
2022-04-04,126
2022-04-05,132
2022-04-06,113
2022-04-07,100
2022-04-08,91
2022-04-09,83
2022-04-10,75
2022-04-11,90
2022-04-12,119
2022-04-13,126
2022-04-14,96
2022-04-15,90
2022-04-16,87
2022-04-17,62
2022-04-18,99
2022-04-19,93
2022-04-20,121
2022-04-21,95
2022-04-22,109
2022-04-23,89
2022-04-24,53
2022-04-25,120
2022-04-26,124
2022-04-27,143
2022-04-28,118
2022-04-29,99
2022-04-30,81
2022-05-01,82
2022-05-02,99
2022-05-03,91
2022-05-04,89
2022-05-05,90
2022-05-06,116
2022-05-07,91
2022-05-08,59
2022-05-09,101
2022-05-10,111
2022-05-11,111
2022-05-12,123
2022-05-13,112
2022-05-14,98
2022-05-15,56
2022-05-16,95
2022-05-17,88
2022-05-18,114
2022-05-19,120
2022-05-20,136
2022-05-21,102
2022-05-22,54
2022-05-23,131
2022-05-24,146
2022-05-25,135
2022-05-26,141
2022-05-27,139
2022-05-28,113
2022-05-29,95
2022-05-30,159
2022-05-31,137
2022-06-01,145
2022-06-02,156
2022-06-03,153
2022-06-04,120
2022-06-05,81
2022-06-06,100
2022-06-07,121
2022-06-08,105
2022-06-09,128
2022-06-10,134
2022-06-11,118
2022-06-12,90
2022-06-13,143
2022-06-14,112
2022-06-15,101
2022-06-16,118
2022-06-17,146
2022-06-18,123
2022-06-19,108
2022-06-20,183
2022-06-21,176
2022-06-22,167
2022-06-23,159
2022-06-24,169
2022-06-25,160
2022-06-26,121
2022-06-27,185
2022-06-28,196
2022-06-29,187
2022-06-30,197
2022-07-01,187
2022-07-02,143
